	cherry1	cherry2	gallium1	gallium2
Mca16181	38	45	124	152
Mca16182	299	423	407	453
Mca16183	0	2	2	2
Mca16184	0	0	0	0
Mca16185	0	0	0	0
Mca16186	2	0	0	0
Mca16187	0	0	0	0
Mca16188	0	0	0	0
Mca16189	4	0	0	0
Mca16190	2	6	2	4
Mca16191	0	0	0	2
Mca16192	1342	2002	1745	2115
Mca16193	35	60	40	37
Mca16194	2970	4219	1855	2224
Mca16195	2	2	29	35
Mca16196	0	0	0	0
Mca16197	0	0	0	0
Mca16198	0	0	0	0
Mca16199	0	0	0	0
Mca16200	0	0	0	0
Mca16201	0	0	0	0
Mca16202	0	0	0	0
Mca16203	0	0	0	0
Mca16204	0	0	0	2
Mca16205	0	0	0	0
Mca16206	0	0	0	0
Mca16207	771	944	1352	1725
Mca16208	0	0	2	0
Mca16209	1215	1627	1697	1855
Mca16210	767	1054	457	386
Mca16211	127	267	235	240
Mca16212	3	8	8	22
Mca16213	2	2	2	13
Mca16214	0	0	2	2
Mca16215	74	80	90	96
Mca16216	719	1100	908	1094
Mca16217	1071	1587	1341	1556
Mca16218	0	0	0	0
Mca16219	0	0	0	0
Mca16220	5056	7227	9166	9850
Mca16221	2069	2532	2033	2470
Mca16222	0	0	4	0
Mca16223	404	706	837	969
Mca16224	0	0	0	0
Mca16225	143	181	154	109
Mca16226	294	327	347	375
Mca16227	0	0	2	0
Mca16228	0	0	2	0
Mca16229	74	177	133	162
Mca16230	0	0	0	0
Mca16231	0	2	0	1
Mca16232	0	0	0	0
Mca16233	0	0	0	0
Mca16234	0	0	0	0
Mca16235	0	0	0	0
Mca16236	0	0	0	0
Mca16237	0	0	0	0
Mca16238	0	0	0	0
Mca16239	0	0	0	0
Mca16240	0	0	0	0
Mca16241	283	467	573	837
Mca16242	441	574	324	312
Mca16243	2041	3773	99	149
Mca16244	247	475	754	1037
Mca16245	6	4	0	4
Mca16246	1768	2235	1891	2539
Mca16247	340	495	570	742
Mca16248	0	0	0	0
Mca16249	0	0	0	0
Mca16250	0	0	0	0
Mca16251	0	0	0	0
Mca16252	2	0	0	0
Mca16253	0	0	0	0
Mca16254	0	0	0	0
Mca16255	0	0	0	0
Mca16256	0	0	0	0
Mca16257	0	0	0	0
Mca16258	0	0	0	0
Mca16259	0	0	0	0
Mca16260	109	210	222	304
Mca16261	4319	5696	3748	4892
Mca16262	0	4	0	0
Mca16263	0	4	1	5
Mca16264	2953	3524	3074	3824
Mca16265	1278	1579	1254	1776
Mca16266	482	588	579	664
Mca16267	492	776	415	473
Mca16268	259	408	355	379
Mca16269	8480	11170	5625	6529
Mca16270	1562	1867	1385	1529
Mca16271	9	11	9	4
Mca16272	368	609	412	437
Mca16273	65	115	77	110
Mca16274	28	45	36	47
Mca16275	114	182	123	132
Mca16276	183	265	331	395
Mca16277	964	1117	1404	1906
Mca16278	1855	2504	1740	2005
Mca16279	5629	7185	5054	5080
Mca16280	16	8	24	21
Mca16281	7	18	20	18
Mca16282	0	0	0	0
Mca16283	0	0	0	0
Mca16284	0	2	6	4
Mca16285	0	0	0	0
Mca16286	748	1097	1413	1658
Mca16287	0	0	0	0
Mca16288	0	0	3	0
Mca16289	150	249	199	147
Mca16290	177	366	316	376
Mca16291	530	639	689	892
Mca16292	0	0	0	0
Mca16293	9	8	11	17
Mca16294	0	0	0	0
Mca16295	109	191	232	257
Mca16296	0	0	0	0
Mca16297	4862	6862	6468	8374
Mca16298	131	247	222	311
Mca16299	33	104	92	85
Mca16300	126	197	22	22
Mca16301	0	0	0	0
Mca16302	0	0	0	0
Mca16303	4	6	0	1
Mca16304	6	14	0	0
Mca16305	0	0	0	0
Mca16306	0	0	0	0
Mca16307	0	0	0	0
Mca16308	0	0	0	0
Mca16309	0	0	0	0
Mca16310	0	0	0	0
Mca16311	0	0	0	0
Mca16312	17	34	72	82
Mca16313	587	782	827	1233
Mca16314	1007	1257	950	1043
Mca16315	403	572	526	741
Mca16316	0	0	0	2
Mca16317	20	50	81	118
Mca16318	122	153	2	4
Mca16319	179	335	263	330
Mca16320	0	0	0	0
Mca16321	89	130	118	137
Mca16322	23	24	15	27
Mca16323	136	219	250	299
Mca16324	0	2	4	3
Mca16325	1836	2662	1558	1845
Mca16326	302	490	681	1265
Mca16327	0	0	0	0
Mca16328	0	0	0	0
Mca16329	0	0	0	0
Mca16330	3525	4751	4120	4413
Mca16331	1466	2080	2262	3021
Mca16332	27	44	69	60
Mca16333	0	0	0	0
Mca16334	323	512	517	557
Mca16335	0	0	2	2
Mca16336	0	0	0	0
Mca16337	1571	1466	1129	1689
Mca16338	0	0	0	0
Mca16339	0	0	2	2
Mca16340	347	458	332	473
Mca16341	0	0	0	0
Mca16342	0	0	2	0
Mca16343	1270	1564	1715	3095
Mca16344	6	12	18	12
Mca16345	0	0	4	2
Mca16346	0	0	0	0
Mca16347	0	0	0	2
Mca16348	0	0	0	0
Mca16349	0	0	0	0
Mca16350	24	37	12	6
Mca16351	159	254	323	369
Mca16352	1777	2211	1869	2338
Mca16353	3056	3881	3224	3960
Mca16354	28233	33781	26336	33349
Mca16355	88	162	43	34
Mca16356	1190	1599	2155	2953
Mca16357	836	1029	1367	1867
Mca16358	0	0	2	0
Mca16359	94	150	108	104
Mca16360	507	888	258	347
Mca16361	0	1	0	0
Mca16362	64	68	8	15
Mca16363	2098	2705	3135	4062
Mca16364	343	547	581	695
Mca16365	0	0	0	0
Mca16366	1245	1457	1885	2285
Mca16367	9034	11405	5794	6492
Mca16368	0	0	0	0
Mca16369	277	409	173	150
Mca16370	2041	2624	1672	2060
Mca16371	167	260	423	610
Mca16372	464	633	596	595
Mca16373	1148	1818	2262	2864
Mca16374	3	8	19	14
Mca16375	5	13	24	25
Mca16376	12	26	44	59
Mca16377	0	0	0	4
Mca16378	337	598	410	558
Mca16379	72	124	155	180
Mca16380	1638	2013	2690	3267
Mca16381	735	1211	1177	1450
Mca16382	1	3	0	3
Mca16383	14	33	23	37
Mca16384	933	1148	972	1277
Mca16385	11	12	29	43
Mca16386	3	0	4	7
Mca16387	6674	9718	7848	9260
Mca16388	208	270	279	385
Mca16389	0	0	0	0
Mca16390	400	588	767	865
Mca16391	184	288	184	197
Mca16392	2688	3256	2801	3557
Mca16393	626	902	695	856
Mca16394	404	476	442	439
Mca16395	11	13	18	28
Mca16396	1020	1569	1884	2419
Mca16397	0	0	2	0
Mca16398	295	595	628	837
Mca16399	0	0	2	0
Mca16400	604	795	722	877
Mca16401	1	2	7	2
Mca16402	0	0	0	0
Mca16403	0	0	14	18
Mca16404	6	5	15	17
Mca16405	0	1	0	2
Mca16406	2	3	6	6
Mca16407	0	0	0	0
Mca16408	0	2	0	0
Mca16409	0	0	0	0
Mca16410	194	268	297	462
Mca16411	0	0	0	2
Mca16412	0	2	0	0
Mca16413	0	0	0	0
Mca16414	0	0	0	0
Mca16415	0	4	0	2
Mca16416	966	1252	1385	1726
Mca16417	1005	1139	1010	1459
Mca16418	1	4	4	2
Mca16419	2	4	6	6
Mca16420	168	259	178	238
Mca16421	1937	3095	2414	2515
Mca16422	1997	2832	1729	2255
Mca16423	472	604	383	518
Mca16424	7112	9457	6359	9337
Mca16425	1333	1787	1178	1189
Mca16426	135	170	208	246
Mca16427	0	0	0	0
Mca16428	0	0	0	0
Mca16429	0	0	0	0
Mca16430	0	0	0	0
Mca16431	0	0	0	0
Mca16432	0	0	0	0
Mca16433	0	0	0	0
Mca16434	0	0	0	0
Mca16435	0	0	0	0
Mca16436	0	2	2	0
Mca16437	425	757	427	546
Mca16438	157	194	338	422
Mca16439	242	461	276	294
Mca16440	0	0	0	0
Mca16441	0	0	0	0
Mca16442	0	0	0	0
Mca16443	0	2	0	0
Mca16444	0	0	0	6
Mca16445	592	826	704	852
Mca16446	230	311	271	263
Mca16447	2049	2838	2120	2453
Mca16448	55138	62856	47956	60539
Mca16449	25	7	11	4
Mca16450	0	0	0	0
Mca16451	4	5	0	0
Mca16452	0	0	0	0
Mca16453	2	3	2	0
Mca16454	0	4	0	0
Mca16455	20	18	0	0
Mca16456	1	2	0	0
Mca16457	2180	3088	3230	2989
Mca16458	528	722	1125	1493
Mca16459	0	0	0	0
Mca16460	0	0	0	0
Mca16461	0	0	0	0
Mca16462	0	0	0	0
Mca16463	10	10	77	130
Mca16464	0	0	0	0
Mca16465	0	0	0	0
Mca16466	855	1156	693	729
Mca16467	50	78	94	116
Mca16468	0	0	0	0
Mca16469	175	256	244	261
Mca16470	124	164	141	142
Mca16471	5311	6881	6227	7006
Mca16472	0	2	0	0
Mca16473	2	0	0	2
Mca16474	318	467	602	782
Mca16475	60	93	109	124
Mca16476	481	739	1008	1372
Mca16477	2	17	20	43
Mca16478	6	30	28	47
Mca16479	1239	1679	2014	2867
Mca16480	1984	2531	1776	1973
Mca16481	183	413	402	477
Mca16482	0	4	4	10
Mca16483	130	171	197	225
Mca16484	40	70	60	77
Mca16485	0	0	0	0
Mca16486	0	0	0	0
Mca16487	169	265	343	371
Mca16488	0	0	0	0
Mca16489	0	0	0	0
Mca16490	0	0	0	0
Mca16491	0	0	0	2
Mca16492	0	0	0	0
Mca16493	0	0	0	0
Mca16494	0	0	0	4
Mca16495	0	0	0	0
Mca16496	518	684	586	831
Mca16497	20	39	115	134
Mca16498	0	0	0	0
Mca16499	0	0	0	2
Mca16500	1781	2204	2213	2143
Mca16501	418	554	673	1066
Mca16502	433	541	471	525
Mca16503	486	690	493	540
Mca16504	1422	1818	2268	3272
Mca16505	973	1323	2124	2795
Mca16506	1132	1648	1125	1328
Mca16507	1119	1565	1294	1545
Mca16508	0	0	0	0
Mca16509	0	0	0	0
Mca16510	0	0	0	0
Mca16511	0	0	0	0
Mca16512	662	1030	741	838
Mca16513	0	0	0	0
Mca16514	2	9	3	4
Mca16515	0	2	0	0
Mca16516	7	10	8	12
Mca16517	188	320	368	396
Mca16518	1	0	2	0
Mca16519	240	408	300	324
Mca16520	0	0	0	0
Mca16521	48	141	102	137
Mca16522	820	1192	692	701
Mca16523	0	0	0	0
Mca16524	0	0	0	1
Mca16525	0	0	0	0
Mca16526	0	2	0	4
Mca16527	0	0	0	0
Mca16528	12	34	26	54
Mca16529	0	0	0	0
Mca16530	0	0	2	2
Mca16531	0	0	0	2
Mca16532	66	108	76	91
Mca16533	0	0	0	0
Mca16534	318	572	622	609
Mca16535	252	355	1022	1785
Mca16536	42	57	40	76
Mca16537	334	482	375	380
Mca16538	0	0	0	0
Mca16539	0	0	0	0
Mca16540	0	0	0	0
Mca16541	0	0	0	0
Mca16542	0	0	0	0
Mca16543	0	2	0	0
Mca16544	72	78	110	152
Mca16545	0	0	0	2
Mca16546	2	6	8	10
Mca16547	0	0	0	0
Mca16548	0	0	0	0
Mca16549	0	0	0	0
Mca16550	0	0	0	0
Mca16551	77	128	196	171
Mca16552	195	252	291	350
Mca16553	4372	5478	5604	6678
Mca16554	5	39	22	47
Mca16555	4	2	0	8
Mca16556	542	651	618	693
Mca16557	288	421	217	156
Mca16558	181	324	122	90
Mca16559	1733	2090	959	995
Mca16560	10	15	4	4
Mca16561	0	0	4	0
Mca16562	79	122	101	88
Mca16563	2	6	16	8
Mca16564	181	187	104	91
Mca16565	412	565	510	557
Mca16566	3826	4571	3546	4025
Mca16567	673	797	567	563
Mca16568	1	1	9	17
Mca16569	0	0	0	0
Mca16570	1442	1975	2631	2693
Mca16571	1	0	0	0
Mca16572	0	0	0	0
Mca16573	0	0	0	0
Mca16574	0	0	0	0
Mca16575	0	0	0	0
Mca16576	0	0	0	0
Mca16577	0	0	0	0
Mca16578	0	0	0	0
Mca16579	0	0	0	0
Mca16580	149	230	128	197
Mca16581	297	478	572	713
Mca16582	1379	1934	1644	2374
Mca16583	27	67	53	74
Mca16584	1	18	18	23
Mca16585	19	20	19	40
Mca16586	0	0	16	10
Mca16587	1817	2318	1248	1202
Mca16588	28	58	72	146
Mca16589	444	624	626	737
Mca16590	1330	2184	2148	2492
Mca16591	669	817	1406	1600
Mca16592	6731	8093	8721	14414
Mca16593	4	7	23	27
Mca16594	8	20	43	23
Mca16595	14	44	28	22
Mca16596	86	126	54	38
Mca16597	1714	2182	587	449
Mca16598	72	89	7	4
Mca16599	69	89	9	4
Mca16600	380	592	48	27
Mca16601	510	724	632	758
Mca16602	287	607	513	482
Mca16603	0	4	2	0
Mca16604	0	0	0	0
Mca16605	0	0	0	0
Mca16606	0	0	0	0
Mca16607	0	0	0	0
Mca16608	0	0	0	0
Mca16609	0	0	0	0
Mca16610	0	0	0	0
Mca16611	0	0	0	0
Mca16612	0	0	0	0
Mca16613	0	0	0	0
Mca16614	0	0	0	0
Mca16615	105	229	226	271
Mca16616	0	0	0	0
Mca16617	66	82	79	88
Mca16618	28	60	68	65
Mca16619	279	362	380	402
Mca16620	0	0	0	0
Mca16621	0	0	0	2
Mca16622	0	0	0	0
Mca16623	0	0	0	0
Mca16624	0	0	0	0
Mca16625	0	0	0	0
Mca16626	0	0	0	0
Mca16627	0	0	0	0
Mca16628	0	0	0	0
Mca16629	149	285	345	432
Mca16630	0	0	0	0
Mca16631	222	362	291	344
Mca16632	628	769	750	933
Mca16633	54	137	101	155
Mca16634	0	0	0	0
Mca16635	0	0	0	2
Mca16636	0	0	0	0
Mca16637	0	0	0	0
Mca16638	0	0	0	0
Mca16639	0	1	0	0
Mca16640	0	0	0	0
Mca16641	7593	11364	6646	7385
Mca16642	63	115	153	229
Mca16643	851	1295	1261	1562
Mca16644	191	251	207	231
Mca16645	0	0	0	0
Mca16646	922	1262	2198	3315
Mca16647	102	156	104	138
Mca16648	33	55	39	46
Mca16649	1569	2367	1823	2516
Mca16650	23	43	65	92
Mca16651	1	3	2	9
Mca16652	8	8	12	16
Mca16653	368	596	576	873
Mca16654	0	0	14	12
Mca16655	89	149	434	474
Mca16656	0	2	0	0
Mca16657	26	62	26	8
Mca16658	0	0	0	0
Mca16659	0	0	0	0
Mca16660	0	0	0	0
Mca16661	0	0	0	0
Mca16662	0	0	0	0
Mca16663	0	0	0	0
Mca16664	453	731	570	610
Mca16665	0	2	2	6
Mca16666	0	2	2	4
Mca16667	0	0	0	0
Mca16668	0	0	0	2
Mca16669	0	2	0	0
Mca16670	0	0	0	0
Mca16671	0	0	0	0
Mca16672	0	0	0	0
Mca16673	5424	8356	9407	10372
Mca16674	78	110	114	142
Mca16675	0	0	0	0
Mca16676	0	0	0	0
Mca16677	0	0	0	0
Mca16678	0	0	0	0
Mca16679	0	0	0	2
Mca16680	0	0	0	0
Mca16681	0	0	0	0
Mca16682	326	437	282	264
Mca16683	4456	5574	4730	5745
Mca16684	1984	2555	1682	1877
Mca16685	558	686	529	685
Mca16686	809	1130	955	1010
Mca16687	1017	1280	1314	1657
Mca16688	83	119	158	224
Mca16689	0	0	0	0
Mca16690	26	24	21	23
Mca16691	17	32	6	15
Mca16692	90	187	121	177
Mca16693	7	11	9	4
Mca16694	0	0	2	0
Mca16695	793	1006	1072	1361
Mca16696	4601	6192	5842	6448
Mca16697	1940	2753	1629	1925
Mca16698	937	1224	1097	1375
Mca16699	153	231	294	380
Mca16700	98	150	167	211
Mca16701	0	5	2	10
Mca16702	0	0	0	0
Mca16703	2	8	5	9
Mca16704	0	0	0	0
Mca16705	7782	10261	12567	18106
Mca16706	44	90	35	38
Mca16707	13	9	17	22
Mca16708	1764	2253	2780	3396
Mca16709	327	458	442	434
Mca16710	47	69	78	84
Mca16711	1662	2724	2058	2534
Mca16712	0	0	0	0
Mca16713	0	0	0	0
Mca16714	0	0	0	0
Mca16715	900	1379	1708	2247
Mca16716	16	25	1	11
Mca16717	2379	3331	1921	1942
Mca16718	8839	11679	11411	13131
Mca16719	6	0	6	34
Mca16720	0	0	2	4
Mca16721	1039	1735	1729	2247
Mca16722	0	0	0	0
Mca16723	0	0	0	0
Mca16724	0	0	0	4
Mca16725	0	0	0	0
Mca16726	481	583	723	965
Mca16727	352	420	473	657
Mca16728	363	473	869	979
Mca16729	8	10	10	6
Mca16730	7	9	20	19
Mca16731	97	131	132	129
Mca16732	163	187	161	198
Mca16733	0	0	0	0
Mca16734	2	0	0	0
Mca16735	0	6	0	0
Mca16736	512	683	809	956
Mca16737	0	0	0	0
Mca16738	0	0	2	3
Mca16739	0	0	4	4
Mca16740	0	0	0	0
Mca16741	0	0	0	0
Mca16742	0	0	0	0
Mca16743	0	0	0	0
Mca16744	0	0	0	0
Mca16745	2	8	1	8
Mca16746	0	4	1	0
Mca16747	5	31	11	18
Mca16748	79	112	189	280
Mca16749	10	19	29	38
Mca16750	219	280	193	256
Mca16751	374	549	470	580
Mca16752	2	1	6	6
Mca16753	82	196	187	199
Mca16754	2484	3243	2669	2931
Mca16755	436	718	729	843
Mca16756	1632	1818	1861	2172
Mca16757	38	47	41	68
Mca16758	8	21	5	6
Mca16759	89	181	72	120
Mca16760	92	116	78	105
Mca16761	386	733	824	930
Mca16762	4025	5532	3988	4390
Mca16763	0	0	0	0
Mca16764	0	0	0	0
Mca16765	0	0	0	0
Mca16766	0	0	0	0
Mca16767	1875	2502	1962	2503
Mca16768	8350	10860	9906	11233
Mca16769	1512	2144	2103	2291
Mca16770	0	0	0	0
Mca16771	0	0	0	0
Mca16772	0	0	0	0
Mca16773	0	0	0	0
Mca16774	0	0	0	0
Mca16775	0	0	0	0
Mca16776	0	0	0	0
Mca16777	0	0	0	0
Mca16778	0	0	0	2
Mca16779	0	0	0	0
Mca16780	0	0	0	0
Mca16781	1948	2283	2125	2444
Mca16782	0	2	6	0
Mca16783	669	910	976	1103
Mca16784	746	974	900	1212
Mca16785	0	0	0	0
Mca16786	67	140	191	224
Mca16787	0	2	0	0
Mca16788	0	0	0	0
Mca16789	0	0	0	0
Mca16790	0	0	0	0
Mca16791	0	0	2	0
Mca16792	0	0	4	0
Mca16793	2	0	0	0
Mca16794	0	0	0	0
Mca16795	332	579	598	824
Mca16796	0	2	0	0
Mca16797	42	76	119	144
Mca16798	283	348	139	210
Mca16799	32	58	70	61
Mca16800	0	0	4	0
Mca16801	0	0	0	0
Mca16802	0	0	1	0
Mca16803	50	52	70	101
Mca16804	0	0	0	0
Mca16805	439	644	835	1179
Mca16806	0	0	2	16
Mca16807	337	415	548	769
Mca16808	56	79	54	78
Mca16809	13	6	4	0
Mca16810	9167	9464	11240	8410
Mca16811	0	0	0	2
Mca16812	0	0	0	0
Mca16813	0	0	0	0
Mca16814	763	1104	1296	1374
Mca16815	0	0	4	0
Mca16816	7	17	8	14
Mca16817	868	1415	1567	1934
Mca16818	75	192	93	156
Mca16819	470	617	576	625
Mca16820	30	57	72	315
Mca16821	2	0	0	0
Mca16822	60	63	73	77
Mca16823	0	1	0	0
Mca16824	113	132	127	138
Mca16825	15	16	10	15
Mca16826	0	0	0	0
Mca16827	0	0	0	0
Mca16828	0	0	0	0
Mca16829	0	0	0	0
Mca16830	74	87	38	24
Mca16831	0	0	0	0
Mca16832	0	0	0	0
Mca16833	2	0	2	4
Mca16834	0	2	1	1
Mca16835	0	0	2	9
Mca16836	0	8	0	6
Mca16837	299	535	531	621
Mca16838	1	0	0	0
Mca16839	0	0	0	0
Mca16840	0	0	0	0
Mca16841	0	0	0	0
Mca16842	0	0	0	0
Mca16843	0	0	0	0
Mca16844	4746	6137	4783	5950
Mca16845	0	0	0	0
Mca16846	9	4	2	19
Mca16847	0	0	0	0
Mca16848	1294	1739	3990	8587
Mca16849	733	932	473	373
Mca16850	10	22	8	18
Mca16851	1498	2195	2001	2273
Mca16852	0	0	0	0
Mca16853	224	354	357	415
Mca16854	31	33	43	55
Mca16855	793	1114	1339	1521
Mca16856	4	2	1	5
Mca16857	0	2	0	2
Mca16858	1	1	0	2
Mca16859	1	0	4	4
Mca16860	1919	2883	2350	2800
Mca16861	11821	14700	12013	13353
Mca16862	5	3	5	6
Mca16863	6523	8818	12036	17909
Mca16864	0	0	3	2
Mca16865	10	8	10	14
Mca16866	111	182	224	316
Mca16867	1007	1446	1266	1594
Mca16868	61	81	176	246
Mca16869	0	4	4	8
Mca16870	25	90	103	126
Mca16871	19	77	118	163
Mca16872	3	5	15	11
Mca16873	115	172	261	319
Mca16874	2939	3969	2466	3214
Mca16875	1247	1722	1257	1576
Mca16876	64	96	69	50
Mca16877	853	1066	861	1001
Mca16878	58	115	126	156
Mca16879	14	24	17	15
Mca16880	128	190	152	131
Mca16881	0	0	0	2
Mca16882	0	0	0	2
Mca16883	0	0	2	4
Mca16884	0	0	0	0
Mca16885	4	8	4	2
Mca16886	0	0	0	0
Mca16887	0	0	0	0
Mca16888	0	0	0	0
Mca16889	2	0	0	0
Mca16890	1	5	0	3
Mca16891	0	0	0	0
Mca16892	0	0	0	0
Mca16893	0	0	0	0
Mca16894	0	0	2	0
Mca16895	0	0	0	0
Mca16896	3	1	4	6
Mca16897	46	74	98	80
Mca16898	145	298	282	250
Mca16899	666	796	726	1224
Mca16900	1688	2237	1364	1651
Mca16901	83	74	237	369
Mca16902	455	700	484	608
Mca16903	27	47	40	46
Mca16904	357	550	282	310
Mca16905	262	404	390	456
Mca16906	1697	2571	3264	6528
Mca16907	10532	12860	14014	17154
Mca16908	10614	13508	8905	8333
Mca16909	50	40	79	93
Mca16910	2	2	0	4
Mca16911	0	4	0	2
Mca16912	31	110	54	87
Mca16913	22	38	325	502
Mca16914	106	164	160	182
Mca16915	132	238	320	446
Mca16916	26	69	71	94
Mca16917	1125	1405	2032	2375
Mca16918	2	4	2	13
Mca16919	0	0	0	0
Mca16920	1634	2036	954	1331
Mca16921	0	0	4	0
Mca16922	905	1192	1257	1548
Mca16923	0	2	6	6
Mca16924	2332	3143	3014	3363
Mca16925	0	0	0	0
Mca16926	956	1171	684	633
Mca16927	0	2	4	0
Mca16928	386	528	305	366
Mca16929	5134	6744	3396	4185
Mca16930	795	1049	804	852
Mca16931	186	315	444	580
Mca16932	321	521	371	475
Mca16933	290	445	541	605
Mca16934	9	20	41	49
Mca16935	121	209	221	212
Mca16936	0	0	0	0
Mca16937	0	0	0	0
Mca16938	0	0	0	0
Mca16939	0	0	2	1
Mca16940	0	0	0	0
Mca16941	0	0	0	0
Mca16942	0	0	0	0
Mca16943	0	0	0	0
Mca16944	0	0	0	0
Mca16945	0	0	0	0
Mca16946	0	0	2	0
Mca16947	34	45	69	106
Mca16948	0	0	0	0
Mca16949	0	0	0	0
Mca16950	0	0	0	0
Mca16951	2	0	0	0
Mca16952	0	0	0	0
Mca16953	2	0	0	0
Mca16954	0	0	0	0
Mca16955	0	0	0	0
Mca16956	0	0	0	0
Mca16957	0	0	0	0
Mca16958	0	0	0	0
Mca16959	0	0	0	0
Mca16960	0	0	2	0
Mca16961	0	0	0	2
Mca16962	80	126	72	68
Mca16963	1694	2242	1935	2251
Mca16964	96	148	193	265
Mca16965	10	20	22	26
Mca16966	121	240	319	398
Mca16967	60	168	154	175
Mca16968	198	236	93	62
Mca16969	2	5	31	36
Mca16970	19	29	144	176
Mca16971	2	3	4	16
Mca16972	9	13	38	53
Mca16973	5	14	22	37
Mca16974	10721	14183	15556	19472
Mca16975	11092	13208	11784	12142
Mca16976	3	0	3	3
Mca16977	0	0	0	0
Mca16978	548	480	782	734
Mca16979	564	702	1013	1248
Mca16980	4131	6159	264	425
Mca16981	1319	1748	75	119
Mca16982	0	0	0	0
Mca16983	916	1237	1390	1593
Mca16984	66	142	211	186
Mca16985	8708	8902	8470	7601
Mca16986	0	2	0	0
Mca16987	104	235	231	303
Mca16988	0	0	0	0
Mca16989	0	0	0	0
Mca16990	19	34	27	34
Mca16991	449	674	654	737
Mca16992	0	0	0	0
Mca16993	0	0	0	0
Mca16994	356	426	477	571
Mca16995	3348	4014	2895	2673
Mca16996	1171	1872	1243	1092
Mca16997	451	667	484	438
Mca16998	5026	6740	4249	4448
Mca16999	0	0	0	0
Mca17000	0	0	0	0
Mca17001	0	0	0	4
Mca17002	252	316	470	539
Mca17003	12	12	11	4
Mca17004	152	247	561	897
Mca17005	526	626	684	774
Mca17006	1688	2163	2027	2773
Mca17007	952	1043	1332	1445
Mca17008	438	611	660	840
Mca17009	0	0	0	0
Mca17010	623	1047	922	1132
Mca17011	0	2	0	0
Mca17012	207	398	300	354
Mca17013	4	2	6	2
Mca17014	1867	1922	2693	8890
Mca17015	1231	1141	1902	5590
Mca17016	155	213	237	234
Mca17017	0	0	0	0
Mca17018	0	0	0	0
Mca17019	0	0	0	0
Mca17020	0	0	0	0
Mca17021	0	0	0	0
Mca17022	0	0	0	0
Mca17023	0	0	0	0
Mca17024	0	0	0	0
Mca17025	295	357	418	528
Mca17026	1763	2120	1842	2539
Mca17027	298	455	522	772
Mca17028	148	224	366	417
Mca17029	363	486	184	246
Mca17030	104	152	221	282
Mca17031	0	0	0	0
Mca17032	0	0	0	0
Mca17033	0	0	0	0
Mca17034	0	0	0	0
Mca17035	0	0	0	0
Mca17036	0	0	0	0
Mca17037	0	0	0	0
Mca17038	0	0	2	0
Mca17039	16	23	44	70
Mca17040	20	30	32	69
Mca17041	1670	2267	2927	3906
Mca17042	832	1070	1225	1288
Mca17043	2	4	29	14
Mca17044	0	0	0	0
Mca17045	0	0	0	0
Mca17046	0	0	0	0
Mca17047	0	0	0	0
Mca17048	0	0	0	0
Mca17049	2	6	2	2
Mca17050	365	445	362	383
Mca17051	2261	3322	3257	3752
Mca17052	0	4	0	4
Mca17053	0	0	0	4
Mca17054	0	1	4	0
Mca17055	0	0	0	0
Mca17056	0	0	0	0
Mca17057	0	0	0	0
Mca17058	0	0	0	0
Mca17059	0	0	0	0
Mca17060	0	0	0	0
Mca17061	0	0	0	0
Mca17062	0	0	0	0
Mca17063	1	4	1	4
Mca17064	1	4	12	4
Mca17065	0	1	4	0
Mca17066	1567	2107	1352	1548
Mca17067	16	26	29	28
Mca17068	4	13	12	33
Mca17069	18	25	53	52
Mca17070	6	10	0	2
Mca17071	1655	2258	2219	2614
Mca17072	1377	1763	1427	1488
Mca17073	0	0	0	0
Mca17074	0	0	0	0
Mca17075	0	0	0	0
Mca17076	287	477	421	443
Mca17077	0	0	0	0
Mca17078	910	1409	1271	1627
Mca17079	38	47	50	48
Mca17080	2	6	12	16
Mca17081	0	0	0	0
Mca17082	0	0	0	0
Mca17083	0	0	0	0
Mca17084	0	0	0	0
Mca17085	0	0	0	0
Mca17086	0	0	0	2
Mca17087	0	0	0	2
Mca17088	0	0	0	0
Mca17089	0	0	0	0
Mca17090	279	398	241	344
Mca17091	1089	1408	1522	1912
Mca17092	0	1	5	0
Mca17093	1	2	2	0
Mca17094	0	0	0	0
Mca17095	0	0	0	0
Mca17096	2	2	0	0
Mca17097	2	3	0	0
Mca17098	0	0	0	0
Mca17099	0	4	4	2
Mca17100	0	0	0	0
Mca17101	0	0	0	0
Mca17102	2	0	0	0
Mca17103	0	0	0	0
Mca17104	0	0	0	0
Mca17105	0	0	0	0
Mca17106	0	0	0	0
Mca17107	15	15	14	4
Mca17108	0	0	0	0
Mca17109	2	4	0	2
Mca17110	0	0	0	0
Mca17111	0	0	0	1
Mca17112	8	10	14	27
Mca17113	679	900	1156	1605
Mca17114	290	366	634	716
Mca17115	14	17	31	35
Mca17116	43	56	110	153
Mca17117	0	0	0	0
Mca17118	0	0	0	0
Mca17119	0	0	0	0
Mca17120	0	0	0	0
Mca17121	0	0	0	0
Mca17122	0	0	0	0
Mca17123	0	0	0	0
Mca17124	2	0	0	0
Mca17125	0	0	0	0
Mca17126	0	6	10	4
Mca17127	2	0	0	0
Mca17128	563	714	542	695
Mca17129	0	0	0	0
Mca17130	0	0	0	0
Mca17131	0	0	0	0
Mca17132	0	0	0	0
Mca17133	2	2	0	0
Mca17134	2	2	0	0
Mca17135	706	965	1291	1791
Mca17136	4352	5951	5730	5951
Mca17137	2	0	1	0
Mca17138	41	78	101	142
