	cherry1	cherry2	gallium1	gallium2
Mca00477	31	28	31	25
Mca00478	3	3	1	2
Mca00479	23	23	28	26
Mca00480	279	411	442	584
Mca00481	122	202	298	480
Mca00482	4	3	2	1
Mca00483	1186	1425	1130	1186
Mca00484	5247	7393	5897	6173
Mca00485	1	0	0	2
Mca00486	14	34	71	117
Mca00487	3764	5381	2528	2654
Mca00488	1509	1931	430	359
Mca00489	819	1075	4234	4189
Mca00490	1520	2194	4403	4066
Mca00491	0	0	0	0
Mca00492	2	6	8	14
Mca00493	2	3	4	11
Mca00494	59	113	257	297
Mca00495	920	1094	818	1049
Mca00496	220	338	200	242
Mca00497	0	0	0	0
Mca00498	399	496	661	828
Mca00499	37	53	69	83
Mca00500	110	152	220	259
Mca00501	181	246	363	424
Mca00502	0	1	0	0
Mca00503	0	1	0	0
Mca00504	0	1	0	0
Mca00505	0	0	0	7
Mca00506	241	487	344	435
Mca00507	22	20	12	17
Mca00508	0	2	2	8
Mca00509	5	18	16	10
Mca00510	101	131	120	120
Mca00511	0	1	0	2
Mca00512	114	162	196	215
Mca00513	4	6	7	15
Mca00514	1684	2574	6784	10268
Mca00515	1	1	3	5
Mca00516	0	2	3	2
Mca00517	0	0	0	2
Mca00518	0	0	0	2
Mca00519	57	92	279	316
Mca00520	0	0	0	0
Mca00521	0	0	0	0
Mca00522	0	0	0	2
Mca00523	0	0	0	0
Mca00524	0	1	0	0
Mca00525	0	1	0	0
Mca00526	0	0	0	0
Mca00527	0	0	0	0
Mca00528	0	0	0	0
Mca00529	0	0	0	0
Mca00530	0	0	0	0
Mca00531	0	0	0	0
Mca00532	30	55	71	56
Mca00533	1	0	0	0
Mca00534	636	746	719	873
Mca00535	3	10	20	10
Mca00536	3188	4316	6351	9140
Mca00537	0	0	0	0
Mca00538	0	0	0	0
Mca00539	0	0	0	0
Mca00540	0	0	4	2
Mca00541	82	100	128	193
Mca00542	37	74	59	123
Mca00543	71	173	140	261
Mca00544	57	131	105	175
Mca00545	23	41	39	54
Mca00546	59	125	138	211
Mca00547	8	10	12	24
Mca00548	8	28	26	48
Mca00549	0	0	0	0
Mca00550	0	1	0	0
Mca00551	0	0	0	0
Mca00552	0	0	0	0
Mca00553	0	0	0	0
Mca00554	0	0	2	2
Mca00555	0	2	0	0
Mca00556	0	0	0	0
Mca00557	0	0	0	0
Mca00558	0	0	0	0
Mca00559	7	7	7	3
Mca00560	295	654	709	809
Mca00561	0	0	0	0
Mca00562	0	0	0	0
Mca00563	502	838	907	1159
Mca00564	137	276	284	339
Mca00565	30	34	75	62
Mca00566	0	0	0	0
Mca00567	0	0	0	0
Mca00568	0	0	0	0
Mca00569	0	0	4	4
Mca00570	41	89	64	39
Mca00571	19	31	27	26
Mca00572	100	126	212	229
Mca00573	149	243	412	470
Mca00574	9	9	6	19
Mca00575	23	22	45	98
Mca00576	13	9	10	13
Mca00577	3	2	2	8
Mca00578	2	0	2	3
Mca00579	0	0	2	0
Mca00580	0	0	1	0
Mca00581	0	0	1	0
Mca00582	0	0	0	0
Mca00583	1	7	13	2
Mca00584	151	238	215	344
Mca00585	0	0	0	0
Mca00586	0	0	0	2
Mca00587	31	44	32	37
Mca00588	55	70	26	30
Mca00589	0	0	0	2
Mca00590	0	0	0	0
Mca00591	787	1172	1107	1449
Mca00592	129	269	226	254
Mca00593	12	28	27	34
Mca00594	3	3	15	21
Mca00595	307	427	519	693
Mca00596	6	2	5	10
Mca00597	0	0	0	6
Mca00598	0	0	0	0
Mca00599	2	0	6	10
Mca00600	1530	2310	1756	2128
Mca00601	32	49	37	59
Mca00602	65	118	103	133
Mca00603	2164	3512	2052	2257
Mca00604	0	0	0	0
Mca00605	542	677	532	593
Mca00606	1	0	3	2
Mca00607	0	0	0	0
Mca00608	0	0	0	0
Mca00609	0	0	0	0
Mca00610	0	0	1	0
Mca00611	0	0	1	0
Mca00612	0	0	0	0
Mca00613	6	12	18	24
Mca00614	54	53	2	0
Mca00615	0	0	0	0
Mca00616	27073	42703	134063	239966
Mca00617	2	0	1	1
Mca00618	3	3	3	3
Mca00619	826	1211	1844	2161
Mca00620	187	286	612	885
Mca00621	537	928	606	688
Mca00622	10292	14346	11559	13134
Mca00623	7322	9061	5370	6108
Mca00624	296	395	444	426
Mca00625	833	1312	1272	1337
Mca00626	2	2	5	5
Mca00627	14	18	18	27
Mca00628	292	417	686	766
Mca00629	0	5	5	9
Mca00630	13	11	18	28
Mca00631	4002	6139	5702	6664
Mca00632	0	2	0	0
Mca00633	387	429	512	888
Mca00634	466	707	873	1378
Mca00635	50	70	86	128
Mca00636	2640	3270	2959	3110
Mca00637	9324	12166	7083	8893
Mca00638	2	0	2	0
Mca00639	0	0	0	2
Mca00640	0	0	0	0
Mca00641	0	0	4	0
Mca00642	83	116	145	95
Mca00643	0	0	4	0
Mca00644	289	318	141	176
Mca00645	1152	1949	1973	2624
Mca00646	99	188	150	184
Mca00647	76	149	144	203
Mca00648	778	998	1108	1374
Mca00649	249	348	359	354
Mca00650	2003	2945	3339	4086
